,id,lang,text,negative,positive,neutral
130,1623282652051546112,EN,"@PurpleR31869438 @MessyBoots2B @AnastasiaRoya20 @SpringBrad1 @HackneyBlack @Elliesmith1201 @TheFakeDuchess @BeeWilde2 @Planet654321 @ZacksGirl3 @MeAfter4 @aileenkelly40 @IzzWiz @lewebley1 @scammingduchess @Kaz70949137 @Debbie64298029 @panto12 @YouTube @sweetpetesmom @HomerElle @BaalambL @bettedavisthizz @DoriaRagland @netflix @princeharry @GBNEWS @looselips @Knesix @richardaeden @angelalevin1 @DailyMailUK @HaroldOfSussex @RoyalFamily @BBCNews @KensingtonRoyal @Telegraph @shamimabegum @joshbakerstory @BBCSounds @sarahconnor @mrmarkdolan @JustinWelby @churchofengland @SamanthaMarkle Meghan's two fave phrases are
#BeKind &amp; #ForMoneyUGetHoney 🍯",-1,1,0
131,1623282629276491780,EN,"RT @netflix: Together we will find everything that we're looking for!

ONE PIECE premieres 2023 https://t.co/GF5T278iTx",-1,2,1
132,1623282590605008897,EN,@IronMaiden I think it’s about time for an Eddie origin movie. Are you listening @netflix ?,-1,1,0
133,1623282567897133060,EN,"RT @Nomorebegrieved: We've still waiting.  Not particularly patiently, but it doesn't mean we'll give up.  Our collective power is greater…",-1,3,1
134,1623282514675523585,EN,"RT @loulouct: Would it kill you @netflix to make a ton of money off Warrior Nun S3.....Come on.❤️⚔️
NETFLIX BRING BACK OCS
#SaveWarriorNun…",-2,2,-1
135,1623282483176570881,EN,"RT @Kara_Di: WE'RE WATING @netflix  

NETFLIX BRING BACK OCS
#SaveWarriorNun #WarriorNun #RepresentationMatters https://t.co/MW2VL3pwoQ",-1,2,1
136,1623282454827257858,EN,@restoreZSJL @netflix #SellSnyderVerseToNetflix #SellZSJLtoNetflix We are ready,-1,1,0
137,1623282446916812801,EN,"RT @rameshlaus: The King is ruling the jungle..

#AK 's #Thunivu is now playing on @netflix https://t.co/ysxNGH2bQi",-1,2,1
138,1623282435466166278,EN,"#MWATALK
@MWATALK_BBS
 An interesting movie Found at @netflix and good to see this a well set story 
 https://t.co/8cY3KUMxMd",-1,2,1
140,1623282422614982656,EN,RT @netflix: Talent clearly runs in the Holland family https://t.co/fXWWyU8Vlf,-1,2,1
141,1623282413135704070,EN,"@Clouds73018149 @WarriorGranny01 @netflix Fingers crossed 
NETFLIX BRING BACK OCS 
#SaveWarriorNun #WarriorNun #drinkmorewater",-1,2,1
143,1623282394714308614,EN,"RT @LucelSargent: We will keep fighting.. You want war? WE GIVE YOU WAR !! 🔥💪🖤⚔️ @netflix 
#WarriorNun  #SaveWarriorNun 
NETFLIX BRING BACK…",-4,2,-1
144,1623282338686971906,EN,"RT @restoreZSJL: I'm very much looking forward to the event on 14/2

Remember to only use two hashtags per post, otherwise twitter sees it…",-1,1,0
146,1623282302737612801,EN,"Lmao I miss this show so much 🤣🤣🤣
@netflix bring it back please 🥺 https://t.co/Yx2rhANc3g",-2,3,1
147,1623282280537157633,EN,RT @netflix: Love is sharing a password.,-1,3,1
148,1623282264162328577,EN,RT @netflix: Four photos to remind you that Narcos = 30 episodes of Pedro Pascal https://t.co/MPLyGnw3rd,-1,1,0
